city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state,media_movel,variacao_semanal
,12.0,123808,13841.49273,2022-03-27,0.0161,1992,894470.0,881935.0,True,722,state,AC,,
,13.0,581070,13809.6363,2022-03-27,0.0244,14151,4207714.0,4144597.0,True,739,state,AM,,
,16.0,160328,18604.43527,2022-03-27,0.0132,2122,861773.0,845731.0,True,734,state,AP,,
,29.0,1530054,10247.74969,2022-03-27,0.0194,29658,14930634.0,14873064.0,True,746,state,BA,,
,23.0,1239746,13494.41712,2022-03-27,0.0215,26708,9187103.0,9132078.0,True,728,state,CE,,
,32.0,1037188,25521.03172,2022-03-27,0.0138,14323,4064052.0,4018650.0,True,750,state,ES,,
,52.0,1269853,17851.21051,2022-03-27,0.0206,26212,7113540.0,7018354.0,True,732,state,GO,848863.8571428572,
,21.0,424199,5962.37482,2022-03-27,0.0256,10869,7114598.0,7075181.0,True,736,state,MA,891776.8571428572,2.426264861721375
,31.0,3317401,15580.01708,2022-03-27,0.0183,60767,21292666.0,21168791.0,True,745,state,MG,1282681.2857142857,4.709124546095995
,51.0,724653,20550.41943,2022-03-27,0.0205,14854,3526220.0,3484466.0,True,734,state,MT,1363299.142857143,3.519815627962677
,15.0,751293,8644.74795,2022-03-27,0.0241,18079,8690745.0,8602865.0,True,740,state,PA,1252047.5714285714,-0.5089761537828077
,25.0,594891,14727.66042,2022-03-27,0.0171,10189,4039277.0,4018127.0,True,738,state,PB,1159925.4285714286,-0.5201509018782879
,26.0,892115,9276.80315,2022-03-27,0.0239,21366,9616621.0,9557071.0,True,746,state,PE,1139200.7142857143,-0.13987146014030238
,41.0,2407960,20908.16578,2022-03-27,0.0178,42896,11516840.0,11433957.0,True,744,state,PR,1301787.4285714286,0.8962509833815411
,33.0,2078817,11970.48472,2022-03-27,0.035,72695,17366189.0,17264943.0,True,737,state,RJ,1538161.4285714286,3.900570251226429
,11.0,391943,21817.5189,2022-03-27,0.0183,7172,1796460.0,1777225.0,True,717,state,RO,1120238.857142857,-0.8818523898678514
,43.0,2263880,19818.65842,2022-03-27,0.0172,38985,11422973.0,11377239.0,True,732,state,RS,1340128.4285714286,2.124088356772138
,42.0,1671175,23042.73753,2022-03-27,0.013,21648,7252502.0,7164788.0,True,746,state,SC,1471540.142857143,1.224398470370415
,28.0,325274,14027.55365,2022-03-27,0.0194,6309,2318822.0,2298696.0,True,733,state,SE,1433023.4285714286,-0.45322084213746716
,35.0,5232374,11303.62799,2022-03-27,0.0319,167110,46289333.0,45919049.0,True,743,state,SP,2053060.4285714286,4.865133979363647
,12.0,123777,13838.02699,2022-03-26,0.0161,1992,894470.0,881935.0,False,721,state,AC,1726748.5714285714,-0.9485967374873336
,27.0,295972,8830.91758,2022-03-26,0.0232,6869,3351543.0,3337357.0,True,746,state,AL,1472056.4285714286,-0.8576247933319768
,13.0,581042,13808.97086,2022-03-26,0.0244,14151,4207714.0,4144597.0,False,738,state,AM,1499070.5714285714,0.48246556259456086
,16.0,160321,18603.623,2022-03-26,0.0132,2122,861773.0,845731.0,False,733,state,AP,1198562.142857143,-0.9291830839090411
,23.0,1239702,13493.93819,2022-03-26,0.0215,26699,9187103.0,9132078.0,False,727,state,CE,1136923.142857143,-0.2581854084700884
,32.0,1037086,25518.52191,2022-03-26,0.0138,14323,4064052.0,4018650.0,False,749,state,ES,1238610.5714285714,2.1883458253656918
,52.0,1269683,17848.8207,2022-03-26,0.0206,26208,7113540.0,7018354.0,False,731,state,GO,672511.8571428572,-0.7573409316688753
,21.0,424136,5961.48932,2022-03-26,0.0256,10868,7114598.0,7075181.0,False,735,state,MA,715420.2857142857,2.426613991290789
,31.0,3317059,15578.4109,2022-03-26,0.0183,60741,21292666.0,21168791.0,False,744,state,MG,1147004.142857143,10.207340559242091
,50.0,523565,18636.22546,2022-03-26,0.02,10486,2809394.0,2778986.0,True,722,state,MS,1138793.142857143,-0.09892055995952098
,51.0,724279,20539.81317,2022-03-26,0.0205,14853,3526220.0,3484466.0,False,733,state,MT,1219358.5714285714,3.5176801541906553
,15.0,751002,8641.39956,2022-03-26,0.0241,18078,8690745.0,8602865.0,False,739,state,PA,1149544.2857142857,-0.394207640223215
,25.0,594358,14714.46499,2022-03-26,0.0171,10187,4039277.0,4018127.0,False,737,state,PB,1086297.4285714286,-0.426896130118428
,26.0,891284,9268.16186,2022-03-26,0.024,21355,9616621.0,9557071.0,False,745,state,PE,1032240.4285714285,-0.2980263577601653
Acauã,2200053.0,228,3210.36328,2022-03-26,0.0088,2,7102.0,7084.0,True,658,city,PI,971682.1428571428,-0.999462436576947
Agricolândia,2200103.0,829,16156.6946,2022-03-26,0.0121,10,5131.0,5139.0,True,650,city,PI,497935.0,-0.9997500798146792
Água Branca,2200202.0,1702,9742.41557,2022-03-26,0.0452,77,17470.0,17411.0,True,699,city,PI,423383.14285714284,-0.9967492097447308
Alagoinha do Piauí,2200251.0,402,5244.6184,2022-03-26,0.0323,13,7665.0,7651.0,True,664,city,PI,319972.14285714284,-0.9994449652689088
Alegrete do Piauí,2200277.0,553,11244.4083,2022-03-26,0.0163,9,4918.0,4915.0,True,646,city,PI,212765.14285714287,-0.9992636504296926
Alto Longá,2200301.0,858,5983.68087,2022-03-26,0.0175,15,14339.0,14304.0,True,680,city,PI,127979.42857142857,-0.9985564255886183
Altos,2200400.0,5568,13712.59697,2022-03-26,0.0192,107,40605.0,40524.0,True,707,city,PI,1448.5714285714287,-0.9937528329915044
Alvorada do Gurguéia,2200459.0,709,13021.12029,2022-03-26,0.0197,14,5445.0,5419.0,True,698,city,PI,1517.2857142857142,2.1096491228070176
Amarante,2200509.0,1736,9861.39514,2022-03-26,0.0207,36,17604.0,17598.0,True,690,city,PI,1646.857142857143,1.0940892641737032
Angical do Piauí,2200608.0,901,13283.20802,2022-03-26,0.0133,12,6783.0,6788.0,True,704,city,PI,1532.4285714285713,-0.47062279670975327
Anísio de Abreu,2200707.0,291,2928.15456,2022-03-26,0.0515,15,9938.0,9880.0,True,697,city,PI,1516.5714285714287,-0.27611940298507465
Antônio Almeida,2200806.0,409,12902.2082,2022-03-26,0.0269,11,3170.0,3164.0,True,633,city,PI,1496.0,-0.26039783001808314
Aroazes,2200905.0,699,11995.88124,2022-03-26,0.0215,15,5827.0,5835.0,True,693,city,PI,1473.2857142857142,-0.1853146853146853
Aroeiras do Itaim,2200954.0,188,7369.65896,2022-03-26,0.0106,2,2551.0,2551.0,True,628,city,PI,704.7142857142857,-0.9662356321839081
Arraial,2201002.0,172,3644.0678,2022-03-26,0.0174,3,4720.0,4727.0,True,576,city,PI,628.0,-0.7574047954866008
Assunção do Piauí,2201051.0,410,5214.2948,2022-03-26,0.0244,10,7863.0,7846.0,True,646,city,PI,438.57142857142856,-0.7638248847926268
Avelino Lopes,2201101.0,527,4653.01077,2022-03-26,0.0436,23,11326.0,11289.0,True,674,city,PI,385.14285714285717,-0.41509433962264153
Baixa Grande do Ribeiro,2201150.0,2672,22894.35353,2022-03-26,0.0135,36,11671.0,11586.0,True,685,city,PI,725.2857142857143,8.18213058419244
Barra D'Alcântara,2201176.0,156,3947.36842,2022-03-26,0.0321,5,3952.0,3951.0,True,638,city,PI,689.1428571428571,-0.6185819070904646
Barras,2201200.0,5936,12580.26915,2022-03-26,0.0177,105,47185.0,47066.0,True,695,city,PI,1437.2857142857142,7.492131616595136
Barreiras do Piauí,2201309.0,114,3400.95465,2022-03-26,0.0351,4,3352.0,3348.0,True,669,city,PI,1426.7142857142858,-0.3936170212765957
Barro Duro,2201408.0,810,11526.96741,2022-03-26,0.0148,12,7027.0,7032.0,True,667,city,PI,1517.857142857143,3.7093023255813957
Batalha,2201507.0,1453,5400.48318,2022-03-26,0.0275,40,26905.0,26857.0,True,688,city,PI,1666.857142857143,2.5439024390243903
Bela Vista do Piauí,2201556.0,324,8039.70223,2022-03-26,0.0216,7,4030.0,4015.0,True,677,city,PI,1637.857142857143,-0.3851992409867173
Belém do Piauí,2201572.0,624,17396.15277,2022-03-26,0.0128,8,3587.0,3566.0,True,673,city,PI,1345.2857142857142,-0.7664670658682635
Beneditinos,2201606.0,1474,14074.28626,2022-03-26,0.0278,41,10473.0,10467.0,True,688,city,PI,1533.5714285714287,8.448717948717949
Bertolínia,2201705.0,1140,20700.92609,2022-03-26,0.0105,12,5507.0,5501.0,True,689,city,PI,848.4285714285714,-0.8079514824797844
Betânia do Piauí,2201739.0,183,2946.8599,2022-03-26,0.0219,4,6210.0,6205.0,True,702,city,PI,858.2857142857143,0.605263157894737
Boa Hora,2201770.0,607,8906.82318,2022-03-26,0.0115,7,6815.0,6781.0,True,693,city,PI,829.2857142857143,-0.25061728395061733
Bocaina,2201804.0,451,10011.09878,2022-03-26,0.0244,11,4505.0,4500.0,True,670,city,PI,686.1428571428571,-0.6896077081899519
Bom Jesus,2201903.0,3840,15125.85181,2022-03-26,0.0135,52,25387.0,25179.0,True,698,city,PI,1188.4285714285713,10.851851851851851
Bom Princípio do Piauí,2201919.0,240,4247.03592,2022-03-26,0.0542,13,5651.0,5630.0,True,705,city,PI,1133.5714285714287,-0.6153846153846154
Bonfim do Piauí,2201929.0,518,9111.69745,2022-03-26,0.0174,9,5685.0,5670.0,True,707,city,PI,997.0,-0.6485753052917231
